gameid,winning_team_champions,losing_team_champions
10050-10050_game_1,"[110, 23, 155, 37, 90]","[49, 7, 12, 9, 61]"
10050-10050_game_2,"[12, 13, 59, 9, 38]","[78, 23, 53, 95, 41]"
10051-10051_game_1,"[47, 92, 27, 9, 31]","[125, 91, 12, 37, 90]"
10051-10051_game_2,"[82, 7, 8, 75, 114]","[49, 23, 77, 24, 54]"
10052-10052_game_1,"[82, 128, 53, 75, 114]","[12, 23, 77, 95, 117]"
10052-10052_game_2,"[26, 73, 59, 9, 38]","[17, 87, 53, 37, 51]"
10053-10053_game_1,"[47, 87, 53, 9, 38]","[133, 23, 155, 75, 41]"
10053-10053_game_2,"[47, 18, 3, 37, 90]","[78, 85, 44, 75, 51]"
10053-10053_game_3,"[1, 72, 48, 57, 117]","[12, 91, 29, 24, 41]"
10054-10054_game_1,"[78, 87, 36, 95, 51]","[70, 50, 77, 75, 90]"
10054-10054_game_2,"[1, 23, 77, 75, 38]","[12, 18, 53, 24, 51]"
10055-10055_game_1,"[1, 23, 47, 95, 90]","[49, 85, 12, 37, 41]"
10055-10055_game_2,"[43, 3, 12, 9, 38]","[32, 87, 8, 60, 51]"
10056-10056_game_1,"[17, 23, 12, 37, 90]","[43, 132, 119, 75, 114]"
10056-10056_game_2,"[78, 7, 8, 95, 114]","[49, 47, 12, 37, 61]"
10057-10057_game_1,"[22, 23, 155, 75, 38]","[48, 72, 44, 37, 41]"
10057-10057_game_2,"[47, 13, 59, 9, 51]","[1, 7, 8, 95, 90]"
10058-10058_game_1,"[26, 23, 53, 95, 51]","[12, 72, 99, 75, 100]"
10058-10058_game_2,"[47, 87, 77, 9, 25]","[17, 13, 36, 75, 38]"
10058-10058_game_3,"[1, 23, 8, 95, 31]","[78, 7, 125, 9, 90]"
10059-10059_game_1,"[49, 23, 77, 95, 114]","[97, 3, 12, 24, 51]"
10059-10059_game_2,"[47, 13, 53, 37, 90]","[1, 73, 77, 95, 41]"
10060-10060_game_1,"[49, 13, 12, 95, 161]","[78, 87, 47, 9, 51]"
10060-10060_game_2,"[133, 146, 110, 37, 54]","[32, 109, 12, 112, 101]"
10061-10061_game_1,"[12, 68, 27, 95, 114]","[110, 23, 77, 9, 31]"
10061-10061_game_2,"[82, 7, 29, 37, 90]","[78, 18, 3, 4, 5]"
10062-10062_game_1,"[1, 85, 43, 75, 114]","[82, 109, 110, 95, 54]"
10062-10062_game_2,"[17, 7, 77, 75, 114]","[32, 87, 59, 37, 90]"
10062-10062_game_3,"[49, 23, 8, 9, 90]","[78, 132, 99, 95, 51]"
10063-10063_game_1,"[47, 18, 83, 15, 161]","[49, 73, 59, 37, 90]"
10063-10063_game_2,"[26, 72, 99, 95, 51]","[78, 7, 8, 75, 38]"
10063-10063_game_3,"[1, 92, 27, 24, 41]","[133, 87, 14, 4, 5]"
10064-10064_game_1,"[17, 87, 53, 75, 41]","[12, 23, 155, 9, 51]"
10064-10064_game_2,"[47, 13, 53, 75, 114]","[1, 68, 12, 9, 90]"
10064-10064_game_3,"[55, 18, 133, 15, 161]","[47, 92, 99, 95, 51]"
10065-10065_game_1,"[12, 72, 3, 75, 114]","[32, 23, 53, 9, 90]"
10065-10065_game_2,"[12, 7, 8, 75, 31]","[47, 87, 45, 15, 161]"
10065-10065_game_3,"[78, 91, 36, 20, 38]","[1, 128, 14, 9, 90]"
10066-10066_game_1,"[125, 23, 155, 15, 16]","[49, 132, 119, 75, 161]"
10066-10066_game_2,"[1, 87, 36, 37, 51]","[78, 72, 48, 4, 5]"
10067-10067_game_1,"[55, 23, 8, 95, 161]","[78, 72, 12, 24, 5]"
10067-10067_game_2,"[47, 85, 119, 95, 114]","[12, 13, 53, 75, 90]"
10067-10067_game_3,"[110, 73, 40, 9, 117]","[47, 18, 36, 37, 61]"
10068-10068_game_1,"[12, 18, 3, 37, 90]","[99, 23, 155, 9, 5]"
10068-10068_game_2,"[43, 92, 48, 95, 51]","[12, 146, 8, 65, 79]"
10069-10069_game_1,"[82, 23, 36, 75, 51]","[49, 3, 99, 95, 61]"
10069-10069_game_2,"[49, 87, 155, 37, 90]","[1, 7, 59, 75, 51]"
10070-10070_game_1,"[12, 73, 8, 9, 31]","[17, 18, 53, 15, 161]"
10070-10070_game_2,"[55, 73, 155, 9, 41]","[43, 87, 53, 95, 51]"
