team1_champ1,team1_champ2,team1_champ3,team1_champ4,team1_champ5,team2_champ1,team2_champ2,team2_champ3,team2_champ4,team2_champ5,result
12,70,17,93,43,152,135,145,75,66,0
12,77,83,93,15,34,19,76,159,66,0
56,55,145,75,121,36,58,60,53,43,0
152,77,20,93,140,163,19,83,53,43,1
36,148,46,93,10,13,19,163,53,37,0
163,30,145,53,164,152,55,102,48,91,1
12,135,145,53,37,26,55,60,159,66,1
36,148,102,93,140,163,29,103,159,43,1
26,55,128,93,164,12,70,145,53,43,1
26,55,38,75,121,12,30,76,53,66,0
13,148,60,48,164,163,55,145,93,40,1
74,153,39,75,66,43,47,22,93,40,1
163,70,17,53,140,152,103,38,71,43,0
163,148,102,93,44,36,153,145,159,10,0
12,35,163,75,43,26,55,46,159,66,1
74,70,145,75,66,152,153,39,48,164,1
152,135,17,159,40,26,148,60,53,37,0
163,55,60,53,15,12,58,128,93,43,1
26,55,60,53,37,45,30,145,93,40,1
36,135,43,9,21,67,148,38,53,37,1
6,30,163,53,164,45,55,145,93,121,0
26,135,102,14,66,12,55,128,93,37,1
12,135,35,48,164,74,55,17,159,40,1
26,148,5,93,43,36,55,102,75,66,0
12,58,43,142,164,28,153,102,48,91,0
28,30,76,93,10,74,55,128,53,66,1
163,70,102,53,40,69,135,43,93,121,0
163,55,60,75,66,152,135,145,53,37,1
163,73,39,48,91,34,30,35,93,164,0
36,153,102,53,43,67,55,145,93,40,0
26,153,31,48,164,12,148,17,159,40,0
63,30,83,53,43,69,103,60,93,37,0
12,77,20,53,37,26,70,49,93,43,1
163,135,128,53,37,34,148,39,93,140,1
24,19,145,159,66,56,47,83,75,10,1
12,135,102,53,43,26,55,60,93,66,1
24,70,145,75,66,163,103,49,159,10,0
74,73,39,93,15,152,135,102,14,85,0
12,30,76,93,121,26,55,102,53,15,1
36,55,5,159,66,74,148,145,75,10,0
13,103,145,71,37,36,70,49,159,66,0
69,103,60,75,43,26,30,39,159,66,1
6,70,102,53,37,163,7,12,93,121,0
12,55,60,75,43,74,153,145,159,15,0
34,19,76,143,66,56,70,17,53,121,1
26,153,145,93,40,36,135,60,48,91,0
13,55,163,142,164,12,148,145,53,40,0
163,148,17,53,21,74,153,101,93,40,0
163,103,102,53,40,152,55,12,159,129,0
56,30,89,159,129,163,55,101,53,40,1
152,30,83,48,91,163,58,101,53,40,1
67,2,102,53,43,39,96,145,75,164,0
26,30,83,93,44,36,55,102,53,43,1
56,148,102,53,40,26,153,145,93,66,0
163,148,101,93,66,26,55,38,53,43,1
12,55,102,53,44,56,30,76,93,43,1
152,148,101,75,121,163,153,102,53,44,0
56,153,60,53,40,12,55,145,48,91,1
12,58,102,93,164,56,55,60,53,40,1
26,148,102,159,129,12,55,60,53,40,1
56,148,145,53,40,12,30,76,75,43,0
13,55,145,53,160,12,153,101,75,43,0
67,153,17,53,164,163,30,76,93,40,1
26,148,101,48,91,56,55,145,53,40,0
56,43,76,159,129,12,55,102,48,91,1
56,55,17,53,164,152,13,163,93,121,0
163,2,101,93,44,56,55,145,53,37,1
36,73,76,93,66,56,133,101,53,44,1
67,2,101,53,43,163,55,116,93,10,0
163,70,102,53,40,74,55,12,93,43,0
56,153,116,93,140,163,103,101,53,44,0
152,30,76,75,44,74,153,101,53,43,0
36,153,60,93,66,59,55,145,53,43,1
56,55,101,93,43,163,148,145,53,66,0
74,153,102,93,44,12,55,145,53,129,1
56,153,102,93,66,152,73,163,53,40,0
26,55,101,53,43,163,153,17,75,66,0
12,55,145,71,123,74,58,102,53,66,1
12,58,101,53,164,1,153,102,93,43,1
74,153,17,93,15,39,103,101,75,66,0
56,153,101,53,40,12,55,102,93,37,1
12,58,60,159,40,24,153,145,53,129,0
74,153,12,48,91,13,103,163,53,40,1
56,153,25,48,91,163,86,38,53,164,0
163,77,76,93,37,67,148,101,53,40,1
12,148,101,93,140,6,103,102,53,66,1
163,55,145,75,66,26,148,101,53,40,1
26,73,145,75,66,12,55,102,53,40,0
163,2,102,159,40,74,135,101,53,129,0
74,55,145,93,66,67,7,102,53,44,1
12,55,101,93,10,24,153,145,53,43,1
163,70,49,75,66,13,73,76,53,40,1
56,153,145,53,10,88,70,49,93,43,0
56,153,102,93,87,67,55,12,53,66,1
56,153,12,93,40,163,148,102,53,164,0
12,148,101,93,37,56,55,145,53,66,0
163,30,76,99,10,67,2,102,53,43,1
6,153,102,75,66,56,55,101,159,15,1
56,55,102,75,66,61,86,145,142,40,1
12,70,101,53,129,56,153,145,159,40,0
45,73,60,53,164,56,153,102,71,123,1
74,30,163,93,43,26,73,102,53,66,0
56,153,145,93,40,12,58,102,53,66,1
163,103,101,162,129,67,55,102,53,66,0
56,58,101,75,66,26,153,145,53,102,1
26,103,101,93,43,12,153,145,53,66,1
12,55,49,93,164,1,7,145,53,121,0
163,73,17,75,66,74,55,101,9,21,1
163,58,102,75,129,74,55,101,23,66,1
74,30,76,93,140,12,55,102,53,66,0
163,30,76,137,120,67,55,102,93,66,1
56,55,101,93,10,74,30,76,53,43,0
74,86,145,53,164,52,148,102,75,66,1
163,30,145,159,164,12,55,102,53,43,0
152,153,17,93,43,163,58,145,75,164,0
163,153,102,137,120,152,55,145,93,10,1
67,55,101,93,43,163,148,102,53,66,1
152,58,101,159,40,163,148,102,53,66,1
12,86,101,159,40,24,55,38,75,66,1
6,30,89,159,129,56,58,145,48,91,1
36,103,102,48,91,13,55,49,159,40,0
56,55,12,93,164,45,7,102,53,121,1
152,30,76,93,43,36,96,102,53,40,1
163,153,101,93,43,6,55,145,53,37,0
163,153,17,93,44,6,58,101,53,160,0
12,55,145,93,43,56,58,101,53,66,0
56,148,12,159,40,26,73,145,53,129,0
12,135,101,75,66,56,148,145,53,43,0
163,148,102,48,91,12,7,145,53,40,0
12,30,76,93,40,163,58,145,53,66,0
67,58,145,75,66,163,73,102,53,40,1
12,55,101,71,123,86,30,76,53,66,0
163,73,35,159,40,56,55,101,48,91,0
12,153,145,93,43,56,55,102,159,66,1
163,153,97,93,5,12,103,38,53,43,1
74,86,102,159,40,36,55,163,53,66,1
12,153,145,93,66,163,7,102,53,121,0
163,58,102,159,40,74,55,12,48,91,1
26,148,102,142,164,12,58,145,48,91,0
74,30,76,93,164,28,139,163,53,43,1
26,153,31,48,91,56,148,145,159,40,1
36,55,145,53,43,74,30,76,93,44,1
12,148,145,53,129,36,153,102,83,164,0
74,86,145,53,40,163,55,102,75,66,0
56,55,145,75,121,6,58,102,53,66,0
74,103,145,75,66,163,55,102,53,160,0
163,58,145,75,66,12,55,102,159,43,0
45,73,163,53,129,52,30,102,159,43,1
52,55,102,75,121,24,73,163,53,44,1
56,77,163,48,164,12,7,102,53,121,1
12,153,17,159,40,56,58,102,75,66,1
74,86,12,93,164,67,55,145,53,129,0
26,30,76,75,43,12,58,145,53,44,1
163,55,145,93,66,152,86,102,75,43,0
74,103,101,93,121,67,153,12,53,164,1
163,70,145,75,66,6,153,17,53,160,0
163,153,145,53,66,12,7,5,93,43,1
163,70,102,53,43,67,55,12,48,91,0
12,30,76,53,66,86,109,102,75,43,1
163,55,145,75,43,152,30,76,159,66,1
74,153,17,75,66,163,86,145,53,40,0
56,103,102,75,66,6,55,145,53,43,0
86,58,102,53,66,26,55,145,93,43,1
163,58,60,71,164,152,55,145,53,43,0
34,30,76,53,43,163,153,12,75,10,1
26,33,102,159,129,12,153,38,83,164,0
163,153,102,75,123,61,86,101,83,66,0
163,73,102,83,129,86,103,12,159,43,0
163,86,102,93,43,67,58,12,75,66,1
56,148,102,75,66,12,55,145,53,40,0
34,55,145,75,164,26,148,163,53,40,1
6,148,101,53,164,56,30,76,75,121,0
163,55,97,159,44,152,86,145,53,43,0
163,55,145,53,40,67,148,97,159,43,0
163,73,76,159,129,74,86,145,53,164,0
56,58,102,75,66,6,55,145,53,40,0
12,58,102,75,66,56,55,145,53,40,1
12,148,102,75,66,56,86,145,53,40,0
6,109,102,75,66,163,153,145,53,37,1
163,55,145,14,66,67,153,35,53,121,1
74,86,31,48,91,163,43,145,93,164,0
12,58,102,75,66,56,86,97,93,43,0
12,153,38,75,66,24,55,102,53,37,1
56,153,17,53,40,152,58,12,75,66,1
74,153,102,93,140,67,103,12,53,43,1
34,19,76,93,43,56,30,97,53,44,1
74,73,102,75,66,163,86,145,53,43,1
163,55,102,137,120,59,73,145,53,66,1
26,70,145,48,91,12,73,20,53,164,0
163,56,97,48,91,6,58,101,159,164,1
56,86,25,48,91,34,55,101,159,164,1
34,148,49,53,66,163,55,101,93,121,1
163,73,97,159,43,34,148,102,53,129,0
26,55,102,93,66,34,30,97,53,43,1
6,55,49,83,164,34,19,17,53,121,0
45,153,145,53,66,26,30,76,93,43,0
26,153,145,53,40,36,96,83,159,129,1
163,55,102,53,44,152,30,76,75,43,1
12,86,97,159,129,6,58,49,71,43,0
163,30,76,159,44,61,153,102,83,43,1
152,86,49,159,87,163,153,102,83,121,0
163,153,102,159,43,34,73,49,83,66,0
152,56,49,75,66,163,30,83,53,40,0
163,153,102,53,40,67,103,145,75,66,1
26,73,49,48,91,34,30,76,75,129,0
26,30,76,75,164,34,148,102,53,43,1
34,148,49,159,40,6,86,83,75,66,0
34,153,116,75,43,163,55,145,14,66,0
26,73,49,159,43,34,33,83,53,129,1
34,73,38,159,40,163,30,83,48,91,0
163,153,145,93,66,34,86,49,53,121,0
12,135,101,93,40,74,73,97,75,66,0
34,30,101,93,40,26,73,97,75,66,1
34,55,101,93,40,26,73,97,75,66,0
34,103,12,53,43,36,55,102,159,44,1
163,86,12,53,160,152,153,102,75,66,0
163,55,101,53,66,36,30,76,137,120,1
34,73,76,75,66,12,58,102,53,40,0
163,55,102,93,10,74,103,12,53,43,1
34,19,145,71,121,36,30,76,14,66,1
34,55,60,75,66,163,58,102,14,43,1
26,73,49,93,43,12,55,101,75,66,0
28,96,101,53,43,163,55,49,159,66,1
12,58,102,75,66,26,153,145,71,121,0
74,55,17,53,15,163,30,76,93,37,1
69,148,145,159,43,56,153,158,53,66,1
152,58,145,48,91,63,153,38,142,40,1
12,70,163,93,140,26,19,60,75,43,0
28,73,102,159,40,36,30,76,23,85,0
163,86,158,48,164,63,55,49,53,121,1
13,7,5,93,140,26,135,17,14,43,1
36,139,18,75,66,126,47,163,93,37,1
12,55,102,159,66,6,30,76,93,15,1
12,55,60,75,66,152,135,145,53,40,1
56,77,60,93,44,24,148,17,53,43,1
67,153,102,159,40,6,7,17,48,91,1
34,153,38,75,43,56,135,97,83,10,1
12,70,17,93,10,36,135,145,53,40,1
163,103,17,93,37,45,30,145,53,121,0
163,58,3,159,40,152,148,60,14,121,0
56,135,60,48,91,28,58,128,75,66,1
56,153,102,93,44,12,55,43,53,140,0
12,55,60,53,164,69,153,145,48,91,0
26,73,145,159,129,13,135,128,9,21,1
74,30,83,137,79,163,70,39,75,66,1
6,58,49,53,43,132,55,102,93,37,1
74,55,145,93,44,63,19,163,53,43,0
74,148,145,75,15,26,135,100,162,66,0
36,7,8,159,129,45,30,17,142,40,1
6,33,145,53,164,163,58,101,48,91,1
12,55,39,159,129,26,19,56,93,15,0
12,135,17,159,40,163,133,102,75,66,0
67,55,145,53,66,152,135,5,137,40,1
74,35,5,23,43,26,73,13,48,91,0
56,55,102,53,140,24,153,35,93,15,0
26,73,17,48,91,12,101,56,75,66,1
6,55,145,53,44,12,153,60,93,160,1
163,30,76,142,40,152,135,5,14,121,0
36,135,101,93,44,74,55,145,53,43,1
56,70,102,142,164,67,135,17,159,129,1
26,55,145,159,15,163,148,49,93,44,1
6,7,102,93,43,26,135,5,53,10,1
6,148,101,93,15,61,135,5,53,66,0
163,55,46,75,66,56,139,34,48,91,1
12,86,145,159,43,152,148,39,75,129,1
74,153,145,137,44,152,7,102,9,129,0
56,55,101,53,37,61,135,145,93,15,1
163,133,145,48,91,26,55,102,53,43,0
26,73,38,71,43,69,77,163,159,44,0
12,47,103,93,15,34,19,56,75,121,0
163,7,5,53,85,152,153,145,93,66,1
67,55,145,93,44,163,135,102,53,37,0
34,55,12,159,15,45,73,46,162,129,1
152,103,102,159,15,26,35,6,75,43,0
163,103,102,159,129,61,55,97,53,40,1
163,58,101,162,43,67,55,145,53,164,1
12,153,3,75,66,26,73,17,142,164,1
163,58,145,75,66,6,55,102,53,37,1
26,73,145,159,43,67,148,102,93,40,0
34,58,69,159,129,74,55,102,53,15,0
26,153,49,162,40,69,103,145,75,121,0
34,55,101,48,91,6,30,95,53,164,1
34,77,20,159,129,26,153,35,83,164,0
56,135,102,159,40,152,55,12,48,91,1
34,109,145,75,66,12,30,76,14,121,0
34,153,17,159,129,74,86,102,53,164,0
26,73,76,137,120,12,30,20,71,43,1
26,55,100,159,129,163,30,35,53,164,0
34,153,97,162,66,12,7,5,75,15,1
34,135,145,48,91,6,7,25,23,43,1
152,56,145,159,129,12,55,102,53,164,0
138,153,102,48,91,152,58,145,75,66,0
6,7,102,53,43,163,135,12,48,91,1
26,55,17,159,40,67,135,145,75,66,0
163,55,101,75,66,34,30,49,53,43,1
56,153,97,93,164,34,58,49,53,129,1
86,30,97,159,40,163,7,102,83,129,0
6,153,145,93,40,1,55,38,53,160,1
26,7,102,71,164,67,47,56,75,121,0
34,70,102,53,164,6,30,83,48,91,0
86,148,145,75,66,67,55,17,159,129,0
34,30,76,75,66,26,55,49,137,120,0
12,58,102,71,121,24,135,145,53,164,1
34,153,35,159,129,26,73,145,53,164,1
74,58,102,48,91,163,86,17,75,66,1
56,148,102,48,91,36,153,38,159,129,0
6,55,145,48,91,163,86,38,53,43,1
34,86,12,53,164,152,148,102,75,66,1
163,58,145,53,164,67,103,102,48,91,1
34,109,49,113,43,6,30,157,159,44,0
74,19,39,75,43,34,30,35,53,44,0
163,153,145,159,129,56,55,102,71,15,1
34,153,145,75,66,26,73,31,53,40,1
34,153,97,75,66,6,55,158,53,15,0
34,86,35,159,40,6,55,49,53,43,0
36,55,102,53,43,69,70,145,75,121,1
163,148,17,14,15,34,103,102,93,37,0
163,30,83,79,15,26,58,101,113,43,0
163,135,102,162,10,152,73,38,75,66,0
12,58,49,159,40,6,55,14,137,121,0
163,55,49,137,120,34,30,76,14,10,0
